model,Answer_Entropy,Log_Entropy,KL
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,-0.0,0.6375145624132676,0.39686375752085573
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6837389058487535,0.7890378993384992,0.08809118681609514
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,-0.0,0.03611623516622439,0.005213422232821551
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.9649629230074277,0.4575672944529424,0.6288355351183239
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,-0.0,0.4349243022756064,0.15708726623395125
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.5297061990576545,0.8219604395197675,0.12081387594167647
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,-0.0,0.2609668067163149,0.07231229007511185
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.9368883075390159,0.8900816068569715,0.13565460190813305
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6869615765973234,0.7375858861267531,0.09098914450797388
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.5297061990576545,0.8061047959960307,0.1935342687702282
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6869615765973234,0.6920127077739743,0.018620395817882024
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.9368883075390159,0.7683071373085364,0.2596535616292939
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.5297061990576545,0.43492431059152004,0.028129689998070792
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6365141682948128,1.07386225844792,0.6388237148047604
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6365141682948128,0.9264722929937701,0.34040604614582526
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,-0.0,0.15743566571110634,0.035972383085486684
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,-0.0,0.15684019123705475,0.035884501844501364
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.5297061990576545,0.7048010099519942,0.04616717824184711
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6869615765973234,0.6941597089213211,0.0318079002878471
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,-0.0,0.10239182994735752,0.018299767262313825
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,-0.0,0.015355035255212635,0.0019367707939501398
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,1.0608569471580214,0.9828493838240558,0.20585790548918426
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.9649629230074277,0.9459484949077388,0.03252167942971333
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.9368883075390159,1.0566177837980284,0.28477412922814693
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.34883209584303193,0.3805859885812003,0.005193712356158921
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.34883209584303193,0.32556565397343223,0.0030826506869325275
